app_id,tag
3480,Casual
3480,Classic
3480,Cult Classic
3480,Difficult
3480,Family Friendly
3480,Funny
3480,Great Soundtrack
3480,Local Multiplayer
3480,Mouse only
3480,Multiplayer
3480,Physics
3480,Pinball
3480,Puzzle
3480,Relaxing
3480,Sexual Content
3480,Singleplayer
3480,Strategy
3540,2D
3540,Addictive
3540,Casual
3540,Classic
3540,Mouse only
3540,Puzzle
3540,Singleplayer
3540,Strategy
3590,2D
3590,Addictive
3590,Adventure
3590,Casual
3590,Classic
3590,Comedy
3590,Cute
3590,Family Friendly
3590,Funny
3590,Great Soundtrack
3590,Indie
3590,Post-apocalyptic
3590,Puzzle
3590,Singleplayer
3590,Strategy
3590,Survival
3590,Tactical
3590,Touch-Friendly
3590,Tower Defense
3590,Zombies
3620,Action
3620,Addictive
3620,Arcade
3620,Casual
3620,Classic
3620,Difficult
3620,Family Friendly
3620,Indie
3620,Match 3
3620,Puzzle
3620,Singleplayer
3700,Action
3700,Classic
3700,Co-op
3700,Cold War
3700,Controller
3700,FPS
3700,Multiplayer
3700,Online Co-Op
3700,Open World
3700,Shooter
3700,Simulation
3700,Singleplayer
3700,Sniper
3700,Stealth
3700,Tactical
3700,Third Person
3700,Third-Person Shooter
3700,War
3700,World War II
3830,3D
3830,3D Platformer
3830,3D Vision
3830,Action
3830,Action-Adventure
3830,Adventure
3830,Cartoony
3830,Classic
3830,Collectathon
3830,Comedy
3830,Cult Classic
3830,Exploration
3830,Funny
3830,Great Soundtrack
3830,Platformer
3830,Psychological
3830,Singleplayer
3830,Story Rich
3830,Surreal
3830,Third Person
3900,4X
3900,Addictive
3900,Classic
3900,Economy
3900,Grand Strategy
3900,Great Soundtrack
3900,Historical
3900,Local Multiplayer
3900,Management
3900,Moddable
3900,Multiplayer
3900,Replay Value
3900,Resource Management
3900,Simulation
3900,Singleplayer
3900,Strategy
3900,Tactical
3900,Turn-Based
3900,Turn-Based Strategy
3900,War
3910,4X
3910,Addictive
3910,Alternate History
3910,City Builder
3910,Classic
3910,Diplomacy
3910,Exploration
3910,Grand Strategy
3910,Historical
3910,Isometric
3910,Military
3910,Multiplayer
3910,Old School
3910,Replay Value
3910,Simulation
3910,Singleplayer
3910,Strategy
3910,Turn-Based
3910,Turn-Based Strategy
3910,War
3920,Action
3920,Adventure
3920,Atmospheric
3920,Choose Your Own Adventure
3920,Classic
3920,Economy
3920,Exploration
3920,Fighting
3920,Historical
3920,Naval
3920,Naval Combat
3920,Open World
3920,Pirates
3920,Remake
3920,RPG
3920,Sailing
3920,Sandbox
3920,Singleplayer
3920,Strategy
3920,Trading
4000,Action
4000,Building
4000,Casual
4000,Co-op
4000,Comedy
4000,Exploration
4000,First-Person
4000,FPS
4000,Funny
4000,Indie
4000,Moddable
4000,Multiplayer
4000,Online Co-Op
4000,Physics
4000,PvP
4000,Realistic
4000,Sandbox
4000,Shooter
4000,Simulation
4000,Singleplayer
4500,Action
4500,Adventure
4500,Atmospheric
4500,Based On A Novel
4500,Classic
4500,Difficult
4500,First-Person
4500,FPS
4500,Horror
