app_id,name,playtime_minutes,playtime_hours,playtime_2weeks,img_icon_url,img_logo_url
289650,Assassin's Creed Unity,261,4.35,0,0629ffe7fc7d88011c5b9705625bfe3791fe0afe,
335300,DARK SOULS™ II: Scholar of the First Sin,416,6.93,0,6e665503e93d1383b774a68dfea23ac7afc0e3aa,
335670,LISA,81,1.35,0,4db7f8a68772c4b4ce484fc2db896e8000c32f7a,
339610,FreeStyle 2: Street Basketball,12,0.2,0,368f89b5ecc999f1956a98a9bdb86f4d6acb243d,
341310,Greyfox,94,1.57,0,e29fffe6ce2e981f7645553af7216d5f414a1060,
351150,DRAGON: A Game About a Dragon,250,4.17,0,a09f5ba082d3a07bf31a983e65de245944a59aef,
329430,State of Decay: Year-One,651,10.85,0,735efd15df84e4a9ef9f64a980cd313f5ef325bf,
21690,Resident Evil 5,251,4.18,0,26108f5caff3638c9f522dd79ee84a12761f373a,
362890,Black Mesa,1640,27.33,0,51182b6a74035eb913b353d5d60e596c3804daf6,
362930,Garfield Kart,37,0.62,0,2bdfea5a09ae12eb3a71eece229632b8d8297cc0,
268050,The Evil Within,743,12.38,0,3ec11bf61b679fe85a529fc139ed90f39964a7c1,
367450,Poly Bridge,651,10.85,0,7bc695b845364099d87469c2d9074a3782c68638,
367520,Hollow Knight,346,5.77,0,7b87aecda896ae747a6e40e3eb63498cb8b84df2,
368360,60 Seconds!,303,5.05,0,ab552d13eee21a2654589d7e348b13f46bcc0abb,
1012880,60 Seconds! Reatomized,252,4.2,0,e008d567f867241727ef6b65003cb0b40d6b0da9,
230230,Divinity: Original Sin (Classic),275,4.58,0,ca9cdafd4257253dba68babeed300874190fbbff,
373420,Divinity: Original Sin Enhanced Edition,223,3.72,0,822ff912b2e464fbebbedf7a75ae1eb24921f16b,
380600,Fishing Planet,0,0.0,0,df6785140de8c32f6baec7fd7fd74c5823459250,
291550,Brawlhalla,1322,22.03,0,c43fac31b8bf8821764603a14d09412bc3d45f66,
388080,Borderless Gaming,3680,61.33,0,9ec4dbbca023fd0493ceffb53bee6181ad5b2a23,
389730,TEKKEN 7,2551,42.52,0,fe025a6f9a666b3839fe0a2591542dc98844643f,
391540,Undertale,1498,24.97,0,2ce672b89b63ec1e70d2f12862e72eb4a33e9268,
397540,Borderlands 3,2132,35.53,0,0ac7b8d98fad581f65b0533bbce63bf953d743ac,
397900,Business Tour - Online Multiplayer Board Game,413,6.88,0,b6ce52a576e99f54c5d18f675540b9c3ee70ed47,
398710,Timberman,251,4.18,0,fa15e1b976f0e202c763c176c849a98e03d36559,
399820,Kopanito All-Stars Soccer,208,3.47,0,efb557e4cc3effe1c98e718f8fb6aac718484250,
404790,Godot Engine,8,0.13,0,057ae868c1d0975b941d73f58d1dc17c8a15a090,
50620,Darksiders,1240,20.67,0,e429cee10d864faf2aae2ea9cd75e8e1942fbe08,
388410,Darksiders II Deathinitive Edition,259,4.32,0,a2d5549090144f1bfd9e00f1b460c1ad0aa9c366,
462780,Darksiders Warmastered Edition,250,4.17,0,4616a0d94eb5864f2933fd0157bb60a27b14d5fe,
413150,Stardew Valley,2359,39.32,0,35d1377200084a4034238c05b0c8930451e2fb40,
413410,Danganronpa: Trigger Happy Havoc,2250,37.5,0,221f5116c2c1d46fa71a7b014b5e882334a2d0da,
413420,Danganronpa 2: Goodbye Despair,4161,69.35,0,912bb82c4ee0f7734ed28c97fde01a1371978896,
280790,Creativerse,1616,26.93,0,e4937c3f653f127bdfddc17a8a544f887775e6be,
418240,Shadow Tactics: Blades of the Shogun,780,13.0,0,7f933b7e1bcb83caf3bbcc9a143aee85b8a677af,
420530,OneShot,55,0.92,0,b5f932179c1e35da8651b4cc05b2cd96d0e6540b,
423230,Furi,607,10.12,0,85ba3f445459796811d4ea9596914e77dcc0a082,
425210,Shadwen,430,7.17,0,1f005d0771c12390561a10e673b91bccea2fe0b4,
304240,Resident Evil,1562,26.03,0,a60a960c76f26ab81773d4f2d372836db37a0012,
339340,Resident Evil 0,190,3.17,0,db120ea03830d200f5ba41567b2dd4556aa33705,
268500,XCOM 2,506,8.43,0,f275aeb0b1b947262810569356a199848c643754,
359550,Tom Clancy's Rainbow Six Siege,3022,50.37,0,624745d333ac54aedb1ee911013e2edb7722550e,
